content,cleaned_content,sentiment
Good but don't like yhe transfer fee to your bank.,good like yhe transfer fee bank,positive
Fast and easy to use,fast easy use,positive
I'm in love with PayPal account app it's really nice,love paypal account app really nice,positive
Horrible interface. Not user friendly.,horrible interface user friendly,negative
awful just awful experience don't use this app. horrible,awful awful experience use app horrible,negative
Excellent,excellent,positive
If your a new user just don't even bother with this trashy app they will hold all your money for almost a month then give you numerous excuses as to why it's on hold. Like the buyer might not be happy with the purchase a month later like tf? Nah these people are trashy do not recommend them for anything.,new user even bother trashy app hold money almost month give numerous excuses hold like buyer might happy purchase month later like tf nah people trashy recommend anything,positive
My phone number is a TextNow phone you will not used it,phone number textnow phone used,positive
Great 👍 a++++,great,positive
They screwed up with my refund on my hotel. Now I have to wait 7-12 days for a refund andcanwont have the money to get another hotel now,screwed refund hotel wait days refund andcanwont money get another hotel,negative
Why are you allowing scammers to use your app name and attracting innocent individuals to their fake games applications? This is very bad! If you are not accomplice then it's time to clear your name and save your reputation from the misdeeds of those games app scammers,allowing scammers use app name attracting innocent individuals fake games applications bad accomplice time clear name save reputation misdeeds games app scammers,positive
Haven't had to much of a problem works pretty well,much problem works pretty well,positive
They took money out of my account with out my say so . So if you can do that.i can't use PayPal,took money account say use paypal,neutral
They take care of third party refunds really really well! Definitely helped out a lot. Great offers!,take care third party refunds really really well definitely helped lot great offers,positive
I got scamed into paying paypal R40.000 ($2267.24) to be able to have money in my account. they refused to refund me. they should be shut down as a whole they are nothing but a money making machine.,got scamed paying paypal r able money account refused refund shut whole nothing money making machine,negative
Today was first time I had problems with app. Couldn't connect me,today first time problems app connect,negative
Security nightmare. When attempting to delete an account the default option will NOT delete any of the data related to that account. This means your details are possibly still be at risk in case of a hack. Moreover the option to DO delete said data did not work for me in 30 minutes of trying. Incredibly hostile designe for a service. I will personally avoid getting any more involved with it.,security nightmare attempting delete account default option delete data related account means details possibly still risk case hack moreover option delete said data work minutes trying incredibly hostile designe service personally avoid getting involved,negative
Need a instant refund. If the merchandise refund in orders that less than 24h.,need instant refund merchandise refund orders less h,neutral
"I like PayPal, especially as a backup.",like paypal especially backup,positive
I love using this app,love using app,positive
Wow amazing 😍😍,wow amazing,positive
Crashes all the time.,crashes time,neutral
👍,,neutral
So nice,nice,positive
"Well,I was a user of cash for a couple of years because I always heard paypal was difficult to use and deal with.Ive recently found that to be toldly untrue. Not only is it simple to use I find it more widely accepted across so many stages of society. I left the cash app market and now become totally dependent on my paypal for all my family needs.Sending money to my children with out question is a great convenience through paypal...I use it to purchase and to send,so grateful to have paypal",well user cash couple years always heard paypal difficult use deal ive recently found toldly untrue simple use find widely accepted across many stages society left cash app market become totally dependent paypal family needs sending money children question great convenience paypal use purchase send grateful paypal,positive
Great,great,positive
remember PayPal for 20 years somebody got my username and password from it and they turned it into a song Don Moen singing it all over the world God is good all the time that my password I tried to find out how they got it but they won't respond won't respond won't they won't respond it's okay,remember paypal years somebody got username password turned song moen singing world god good time password tried find got respond respond respond okay,positive
PayPal has really worked for me. I love the convenience and the protection I get from using Paypal.,paypal really worked love convenience protection get using paypal,positive
Great app.,great app,positive
Quick and easy,quick easy,positive
Pretty seamless,pretty seamless,positive
Osm,osm,neutral
"I've been using PayPal since Musk was involved and I have never been disappointed. Until today. Congratulations. Refusal to reverse a charge and then saying ""we don't have departments"" is just a trash way of saying ""not our problem."" Done with PayPal. There are better options out there.",using paypal since musk involved never disappointed today congratulations refusal reverse charge saying departments trash way saying problem done paypal better options,negative
